35.86.70.47 - - [19/Sep/2022:04:53:48 +0300] "GET / HTTP/1.1" 200 1286 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36"
94.23.133.43 - - [19/Sep/2022:05:06:38 +0300] "GET //wallet/.git/config HTTP/1.1" 404 188 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)"
94.23.133.43 - - [19/Sep/2022:05:06:38 +0300] "GET //admin/.git/config HTTP/1.1" 404 188 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)"
94.23.133.43 - - [19/Sep/2022:05:06:39 +0300] "GET //core/.git/config HTTP/1.1" 404 188 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)"
94.23.133.43 - - [19/Sep/2022:05:06:39 +0300] "GET //live/.git/config HTTP/1.1" 404 188 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)"
94.102.61.10 - - [19/Sep/2022:05:18:19 +0300] "GET / HTTP/1.1" 200 1286 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
95.108.213.44 - - [19/Sep/2022:05:27:06 +0300] "GET /robots.txt HTTP/1.1" 200 26 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
80.94.92.231 - - [19/Sep/2022:06:14:19 +0300] "GET / HTTP/1.1" 200 3320 "-" "-"
74.108.124.79 - - [19/Sep/2022:06:39:08 +0300] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 125 "-" "r00ts3c-owned-you"
74.108.124.79 - - [19/Sep/2022:06:39:08 +0300] "ep.zyxel80;rm+-rf+arm7%3b%23&remoteSubmit=Save" 400 157 "-" "-"
95.108.213.44 - - [19/Sep/2022:07:03:43 +0300] "GET /robots.txt HTTP/1.1" 200 26 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
111.118.40.97 - - [19/Sep/2022:07:03:44 +0300] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 125 "-" "r00ts3c-owned-you"
111.118.40.97 - - [19/Sep/2022:07:03:44 +0300] "ep.zyxel80;rm+-rf+arm7%3b%23&remoteSubmit=Save" 400 157 "-" "-"
104.152.52.148 - - [19/Sep/2022:07:21:19 +0300] "GET / HTTP/1.0" 200 3320 "-" "masscan/1.3 (https://github.com/robertdavidgraham/masscan)"
74.82.47.4 - - [19/Sep/2022:07:41:51 +0300] "GET / HTTP/1.1" 200 3320 "-" "-"
167.94.146.59 - - [19/Sep/2022:07:42:11 +0300] "GET / HTTP/1.1" 200 3320 "-" "-"
167.94.146.59 - - [19/Sep/2022:07:42:11 +0300] "GET / HTTP/1.1" 200 1286 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.59 - - [19/Sep/2022:07:42:11 +0300] "PRI * HTTP/2.0" 400 157 "-" "-"
167.94.146.59 - - [19/Sep/2022:07:42:11 +0300] "GET /favicon.ico HTTP/1.1" 404 125 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
74.82.47.40 - - [19/Sep/2022:07:47:13 +0300] "GET /favicon.ico HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
90.209.165.142 - - [19/Sep/2022:08:08:46 +0300] "GET /_phpMyAdmin/index.php?lang=en HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
